"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100101 ~ 20101231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","170-18","0170","0018","(170-18)","26.6","21.53","201007","13","29,350","1","1988","선릉로12길 17",""
"서울특별시 강남구 개포동","1219-11","1219","0011","강남하이츠","39.9","19.33","201001","22","21,500","1","1993","개포로20길 35",""
"서울특별시 강남구 개포동","1202-2","1202","0002","경모하이츠","51.69","21.2","201003","12","28,500","1","1991","개포로22길 41-6",""
"서울특별시 강남구 개포동","1235-16","1235","0016","광현빌라","62.76","34.53","201001","22","36,500","2","2001","논현로18길 10-13",""
"서울특별시 강남구 개포동","1235-16","1235","0016","광현빌라","77.34","42.55","201011","2","44,200","4","2001","논현로18길 10-13",""
"서울특별시 강남구 개포동","1171-4","1171","0004","금성빌라","38.2","17.34","201001","21","18,500","1","1993","논현로6길 18-10",""
"서울특별시 강남구 개포동","1209-10","1209","0010","금성빌라","77.05","36.16","201002","5","43,000","2","1992","개포로32길 23",""
"서울특별시 강남구 개포동","1231-15","1231","0015","금성하이츠","38.72","18.48","201004","19","22,500","1","1993","개포로20길 21",""
"서울특별시 강남구 개포동","1231-15","1231","0015","금성하이츠","28.04","13.38","201008","23","17,000","1","1993","개포로20길 21",""
"서울특별시 강남구 개포동","1182-4","1182","0004","뉴 아트빌라(1182-4)","40.71","21.17","201001","12","17,700","-1","1994","논현로8길 66-9",""
